,clean_data,sentiment
2462,Beginning May 16 masks no longer will be required during classes and in academic and research labs MSU will continue its vaccine and booster mandate Both the Early Detection Program and PCR testing at the MSU Clinical Center will end May 13 https://t.co/gBGbkjth0q https://t.co/fsIOnPeAoB,neg
2305,"Fauci 閴傘倧绗 All that stuff you hear about don't worry about kids let them get infected is a bunch of nonsense There have been about 12 million cases in kids there have been over 120,000 hospitalizations Dr Anthony Fauci said Monday https://t.co/bEmx7vcDKl",neg
2461,Considering one liberal party was allowed to spread lies all covid long and repress what anyone with scientific evidence was saying regarding mask efficacy vaccine efficacy and risk to those under 20 from covid and the risk of vaccination for those under 20,neg
2385,NEW HEADLINES The requirement for schoolchildren to get the COVID 19 vaccine is being held off for another year Also the city of Redding has begun to wrap its power poles with fire-resistant material https://t.co/nR87CJF7k8,neu
1411,This won be the last pandemic in our lifetime 2/3 rds of voters support a mandate for K 12 students This should not be an issue in a scientifically advanced society Kids COVID vaccine mandate California backs away for now CalMatters https://t.co/lBFzuWKXL9,pos
850,Shameia is a vaccine advocate who knows she is protecting herself and her community with her COVID 19 vaccine If you have questions about the shot use the SC Disability Vaccine Access website https://t.co/s0VcdRFyB7 or call our hotline at 1-800-787-6046 https://t.co/x1UB0nLK0L,neu
768,The #CovidVaccine that isn't a #Vaccine Because it does not prevent you from getting #Covid_19 A vaccine prevents you from a disease One year ago I TWTed out CovidWontKillYou The Covid VaccineWillKillYou Twitter suspended me for saying the obvious #CovidBillionaires https://t.co/bqjWdVTfCU,neg
245,Where is the letter for under 5s Your advocacy is desperately needed and conspicuously absent https://t.co/2iJlW72eEx cc,neg
2204,UK approves Moderna COVID 19 vaccine for children aged 6-11 https://t.co/sh8U4wPdz3 #Health https://t.co/eQQT8822Zi #news 897,pos
289,I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda https://t.co/HZVXBMK9GU A friend of mine recently bought 40 of these books to dis,pos
1332,Ivermectin works The covid vaccine doesn Trump won the 2020 election in a landslide J6 wasn an insurrection it was a coup by the globalist uniparty of which Twitter is one of the main sources of their propaganda WAKE UP Free speech does not exist here on Twitter https://t.co/BEAwockSj5,pos
2451,Protect yourself and your family this Ramadan get vaccinated at a time that fits around your fasting or prayers See the clinics across #Salford on https://t.co/pGDggqredy vaccines are a safe and effective way of protecting yourself and your loved ones against COVID 19 https://t.co/xVRXNKdIv9,pos
855,Our Granville and Blacktown vaccination clinics are offering winter booster vaccinations to eligible candidates Easter long weekend vaccination clinic hours Granville 8am to 4pm Saturday 16th April ONLY Blacktown Open every day 8am to 4pm https://t.co/PHzO1n2Tul https://t.co/ZAy7yXoJzP,neu
2313,If you want to argue that the COVID vaccine turns you into a lizard do it on there amongst actual experts in the field not on a massive social media platform where a suburban soccer mom might actually believe it to be true,pos
597,nan,neu
1148,found the Covid vaccine before covid was a thing so Nostradamus of us,neu
1606,Hey Luke are you one of the people who think the government is implanting microchips with the Covid vaccine LOL Now go attack the Capitol I know you guys are good at that then claim to be a good American,pos
53,When I heard Johnson Johnson was coming with a covid vaccine I knew humanity days were numbered,neu
868,So a vaccine banned in many countries in ADULTS UNDER 50 is given approval for use in children as young as 6 in the UK Kin hell https://t.co/lPHLvPozs6,neg
2655,FDA and Pfizer Knew Covid Shot Caused Immunosuppression LewRockwell https://t.co/d6CMzaV5Mr Pfizer閳ユ獨 own consent form clearly states 閳ユ穾lthough not seen to date it cannot yet be ruled out that the studied vaccine can make a later COVID 19 illness more severe 閳 2022-04- 15 15:07 43 +00:00 Matthew Chapman San Marcos,neg
1062,Insane Spike in Heart Attacks and Strokes Prompts German Emergency Services to Demand Suspension of Covid accine Mandates https://t.co/PfGwKVaOOu,neg
728,A state appellate court ruled this week that it will not block enforcement of the Pritzker administration mandate that certain categories of public employees either be vaccinated against COVID 19 or undergo regular testing https://t.co/u71Wo3vZt1,pos
2330,Why did one of my relative try to convince me last fall that the vaccine actually GAVE people Covid I mean folks just out here talking nonsense l,neg
1271,A booster shot of the Pfizer COVID 19 vaccine increases immunity in children 5 to 11 and some types of cancer patients are at higher risk of breakthrough COVID 19 https://t.co/SSZf8kAioA,neg
192,The Public Health and Medical Professionals for Transparency forced the FDA to release Pfizer COVID vaccine trial data including 9 pages of serious side effects Liver disease is one of them https://t.co/3S7btp8bqH,neg
2004,California delays Covid 19 vaccine in schools Learn more Link will be provided in comments #Jallyahmcj2034_15,neu
2286,Didnt really have a choice Covid and lockdowns were necessary and saved lives Now we have a vaccine we are moving back to normal even though we should be more cautious and considerate than we are,pos
2653,Is the absence of Nimmo Canha Smith due to COVID vaccine status I thought this mandate was lifted already 棣冩媼 https://t.co/3mQS5tIQV1,neu
1568,Please don waive showing vaccine status We e still in a pandemic Broadway Adjusts COVID Vaccine Requirements Extends Mask Policy https://t.co/Y3mVjMg3mp,pos
2268,Not recommended foe children under 12 years https://t.co/eNmJlkiKPW,pos
1015,No one seems to care but I'm definitely suffering extreme neurological symptoms since the covid vaccine,neu
2619,"1,014 902 have died from Covid 19 The majority of them anti-vaccine Retrumplicans Without those votes Retrumplicans will have an impossible task winning future national elections It will only get worse for them from now on #RepublicansAreAJoke",neg
1190,I keep hearing from the left that China Covid vaccine doesn work Russian vaccine doesn work estern vaccines work great they just can prevent you from getting or spreading the virus,pos
1187,COVID Vaccine Distributions in Africa Were Once a Contested Issue Between the U S and China ... But Not Anymore The China Africa Project https://t.co/MiHvErjKFI via,neu
2480,No Just recently they were proven not to work Doctors are more than welcome to treat patients any way they want There is no law that requires them to use a COVID vaccine 1/2,pos
2412,Is this real effectiveness or COVID vaccine effectiveness https://t.co/CbvSzlYFks,neu
1273,Do you think K 12 students should be forced to get a COVID vaccine Share your opinion on our poll https://t.co/f8PdAk0zqQ,neg
385,I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda https://t.co/HZVXBMK9GU A friend of mine recently bought 40 of these books to distribute to his friends who he says,pos
1680,Because we have a better system in place which helped us during covid time too Obviously we should criticise and ask for better but left deny and people show them their place Toilet and free ration during covid with vaccine,pos
638,Fauci Lockdowns Prevent People from Getting Natural Exposure So they Depend on Big Pharma Vaccination https://t.co/V4arpYo1pV Dr Anthony Fauci the head of the National Institute of Allergy and #covid #covid19 #omicron #vaccine https://t.co/uwjsDZZfMb https://t.co/n8RTq29ux8,pos
616,"VAERS data released Friday by the Centers for Disease Control and Prevention included a total of 1,226 314 reports of adverse events from all age groups following COVID vaccines including 26,976 deaths and 219,865 serious injuries https://t.co/BefsoM01fO",neg
1000,Harvard pilgrim is 1 centre It provides comprehensive info about the vax a little out of date bu,pos
1165,A new Helmsley-supported study found lower rates of #COVID vaccine booster uptake among certain vulnerable groups with #IBD in England including those with Crohn disease ointing to the need for additional resources to support vaccination efforts https://t.co/shx84PZQTP,pos
861,I think the word for word was f you get the vaccine you won get covid,pos
746,Testing free speech on twitter There are only 2 genders climate change is fake Covid 19 came from china the earth is flat and the vaccine is killing more people than it is helping,neg
615,Insane Spike in Heart Attacks and Strokes Prompts German Emergency Services to Demand Suspension of Covid Vaccine Mandates https://t.co/QMclYpxD5a You may not like it But it's good for you to know,neg
841,#latelateshow Remember when Luke O'Neill said the vaccine was 100 effective against the covid that was some laugh,pos
124,My main question is when will a COVID vaccine be available for my 1 year old Cc,neu
2225,All of Government is failing us at getting ready for Covid responses Anti-viral treatments should be everywhere and not just for the rich And children under 5 still need a vaccine Families have been abandoned by this administration who wants to ignore the big C word,neg
2067,Beltway Insider Biden SCOTUS Ukraine Bucha Massacre Jan 6 Committee COVID Vaccine Totals Tiger Woods Will Smith https://t.co/YuHQhEpMmW,neu
418,Pfizer and BioNTech Announce Data Demonstrating High Immune Response Following a Booster Dose of their COVID 19 Vaccine in Children 5 Through 11 Years of Age Pfizer https://t.co/TPEbsEIDoq #Medical #GroupZirigoza,pos
156,The Public Health and Medical Professionals for Transparency forced the FDA to release Pfizer #COVID vaccine trial data including 9 pages of serious side effects Liver disease is one of them #cndpoli #children #VaccineInjury #politics #onpoli https://t.co/3S7btp8bqH https://t.co/MEgxs7tSzr,neg
1460,I have a very close friend that caught Corona Virus before the vaccine was able to be developed due to accidental exposure out of their control While they are still themselves mostly You can tell that Covid's had an effect on them I wor,pos
196,GOI funds Epygen #Biotech to make affordable #Covid19 vaccine for https://t.co/r6A34Xrf6H Il y a 7heures #Mumbai April 15th 2022 Epygen Biotech an #Indian Biopharmaceutical company engaged in research and manufacturing therapeutic proteins has rec https://t.co/TdIwcYqfkd,pos
259,I don care if you get the vaccine or not I vaccinated because I have issues that lead me to believe a bad case of COVID could complicate and I am was constantly exposed Right now where I am COVID isn,neg
2014,Andy Vermaut shares :P oorer Nations Shun AstraZeneca COVID Vaccine Document Poorer nations have refused tens of millions of AstraZeneca COVID 19 vaccines from the global programme COVAX a document shows the latest sign that its short shelf https://t.co/WEw04MeDB2 Thank you https://t.co/EpepDe5biI,pos
2549,COVID is the largest cause of death in children from disease knows this Yet he says children are priority 1 but doesn't follow that with assurances that children will be protected against infection until a vaccine is available and mandatory like polio Gaslighting https://t.co/bANkopbwOG,pos
1549,AwesomeCapital Poorer nations shun AstraZeneca COVID vaccine https://t.co/ZdkP4VWmQS,neg
805,Seriously Move on seriously Science corps and Government just can get off the taxpayer teet for their pet project and money funneling powerhouse COVID #covidcashcow #ccc https://t.co/y5kWvX4jAh,neg
1702,German parliament REJECTS proposed COVID vaccine mandate after months of debate https://t.co/NqDgYPv4ML #World,neg
1771,There is something deeply sinister in China over Covid what the point of vaccine if you still lock tens of millions up and the rest of the world shows no interest It stinks https://t.co/DCxv54WVyC,neg
179,Poor Luke believes his own Twitter and Telegram feeds and not the FACTS € € € € € € € € But sometimes ignorance and being obnoxious is the path ch,neg
1009,Vaccines do work COVID 19 kills and injures way more people than the vaccine supposedly does the billboard only shows one vaccine njury out of what like a million,neg
2367,Covid Live Updates For Bereaved U K Families Fines for Johnson Prolong Heartbreak The New York Times https://t.co/fKpntJn0Z8,neg
1663,MEDIA 1 Cause 2 EFFECT The king vs.The FakeNewZ Its not new Analyze FACTS 2020 ELECTION YR The FakeNewZ media No clue I GUESS wear a mask stay home NO vaccine The RALLIES #News1man UNQUESTIONED Venue hat income,neg
1678,Now that most of Australia has received all required doses of COVID 19 accine as mandated the country hospital system is overflowing with patients suffering from a variety of health problems One expert revealed that there has been a 40 percent rise https://t.co/yChkwZon0Y,neg
2099,mRNA technology was initially developed for cancer treatment and after its remarkable success for COVID vaccines it's coming full circle #AACR22 #AACR2022 https://t.co/S9bZJCxTZQ,pos
1738,True side effects of the COVID 19 vaccine include blood clots and heart inflammation,pos
1303,We do have T-cell on trials why don't get get us Like inovio has it We tired of mRNA vaccine by now covid should be gone but we lsn to your advises and useless get us working vaccine Long shelf life too better than mRNA based anti bo,neg
2132,My account was suspended for 12 hours for merely suggesting that the government should stop funding research for a vaccine meant for a part of the population that has the mildest if any reaction to #Covid is now suggesting we cannot discuss economic policies,neg
2224,Booster Friday Adults age 50 and older and some immunocompromised people are now eligible to get a second Pfizer or Moderna booster dose at least four months after their first booster Learn more about where how to get a booster dose at https://t.co/5Khxbr4cup https://t.co/jpjpJ4GaYD,neu
2585,615 people died a normal death but tested positive using a dodgy test that can't tell the difference between flu cold or covid let's look at it differently 615 triple vaccinated people died of covid yesterday Do you trust the vaccine,neg
2465,That Covid 19 vaccine hit it bad new people all the time,neg
1426,That will be nice COVID community spreading event given how shitty their vaccine is,neg
33,I recommend this just released book if you seek to fully appreciate Trudeau's dystopic and social credit system inspired pandemic agenda https://t.co/KmmX9Ie3O0 A friend of mine recently bought 40 of these books to distribute to his frien,pos
1330,HCFA recently concluded a COVID 19 vaccine education campaign in Milford Framingham Thank you to for funding this initiative to increase vaccination rates in the Metrowest area Read more in the latest A Healthy Blog entry https://t.co/BnrZ5wsG1P https://t.co/OJLQmI2jW6,pos
311,I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda https://t.co/HZVXBMK9GU A friend of mine recently bought 40 of these books to distribute to his friends who he say,pos
1894,For the critical thinkers out there 23.3 of total population are vaccine free Only 12 of the new Covid cases are in the vaccine free group 36.9 of population have had 3 doses of vaccine Over 44 of the people currently hospitalize,pos
1547,Rather have a rare vaccine injury than covid My vaccine made me ill for 1 day only,neg
117,RTStateDept This week the United States partnered with #COVAX to donate more than 2.1 million COVID 19 vaccine doses to Comoros Eswatini Mauritania and Nigeria To see where else we've donated COVID 19 vaccines around the world visit https://t.co/wjAOxaOr0d,pos
1505,State Board of Health won require COVID vaccine for students https://t.co/9mDJT69nK6,pos
546,While Catholic American Covid 19 vaccine CORBEVAX has burrowed into the Indian market HINDUPHOBIC trashing of Indian COVAXIN by Bramic Westerners is going on at a massive level First WHO canceled then COVAXIN trial in US put on hold a,neu
900,Vaccine injury isn't rare when it happens to your child no sorry it is Anecdotal evidence isn't proof of anything It's proof that extreme side effects are brought about with all Medicine #covid #antivax #Pfizer #vaccines https://t.co/Lj5AowTV7i,neg
1803,#SooninAJPH Assessing the impact of vaccine lotteries on COVID 19 vaccination rates in the United States in 2021 There is no evidence of impact of vaccine lotteries on 18 first-dose vaccination rates across the first states to adopt such programs,pos
1387,At the height of the pandemic I made the choice to not expose myself husband and children to COVID 19 So if that meant not being around people that weren't vaccinated then that's what it meant Not forcing anyone to take the vaccin,pos
2622,Canada has vax that was manufactured and derived from tobacco plant what ardis says about nicotine receptors in brain in vid makes a lot of sense The fact WHO is not approving the vaccine because parent company is big tobacco should be telling in itself https://t.co/Ozl0PL65kh,neu
933,People are have long term health issues because they have been poisoned by the covid jab which is not a vaccine,neg
636,Gov Tony Evers vetoed 28 Republican bills on Friday including measures to dissolve the Milwaukee school district make private voucher schools available to everyone regardless of income and prevent certain COVID 19 vaccine mandates . ... https://t.co/l8K1rIFpyq,pos
2162,Ontario Public Health data shows that COVID vaccines have over three times the adverse events compared to all vaccine products administered over the previous 8 years from 2012 to 2019 with double the amount of doses administered https://t.co/3RhYVfz1Hu,neg
306,Not my sis mom getting Covid for a 3rd time like sis get the vaccine already Clearly natural immunity not working for you,pos
1390,I haven't had covid once yet lol I need to get my vaccine,pos
2460,do you think of novavax as more effective Importantly the vaccine offers protection against symptomatic and asymptomatic COVID 19 infection which may both interrupt virus transmission and prevent COVID 19 disease https://t.co/y4pJP1616e,pos
1637,The A are the first team to be impacted by the Covid vaccine requirement to play in Toronto https://t.co/wY647icY0a,pos
964,Stsrt here https://t.co/oAoC2nynRq https://t.co/EW9srC5KM0 https://t.co/FJYP0oLzxj https://t.co/TJtLDxcGZ8 https://t.co/Ct1Sx8opbk https://t.co/6VREgeNzOc https://t.co/CjzXGW,neu
2039,I think the COVID 19 vaccine is important in the fight against the COVID 19 pandemic So I encourage everyone to get vaccinated as soon as they can so that they can get back to the things they love So let's #GetBackOnTrack and #GetVaxxed See you outside https://t.co/laAbOPZGXb,pos
2101,Michigan State University COVID vaccine booster mandate extended to summer fall semesters https://t.co/n9RWNgz2Ij,neu
653,Lawless Government The HHS Illegally Redefined accine to Provide Legal Immunity for COVID Shots VIDEO https://t.co/PkeNMMsED7,pos
1523,Student vaccine mandates fall like dominoes Pan decision to hold his bill indicates that Dem lawmakers vaccine proposals are facing an uphill battle in a state that no longer recommends quarantine for asymptomatic people exposed to COVID Thoughts https://t.co/FGfcM4RoAM https://t.co/UNtdsw5pT5,neg
711,#covid19world Cumulative confirmed COVID 19 deaths per million people Apr 14 2022 https://t.co/N6ioFFHIBm,neu
2316,I mean we have ALL heard him say this Haha https://t.co/cZlvcTXVdP,pos
2055,Three year old separated from her family over covid vaccine disagreement https://t.co/ds9Q1pSMUr,neg
1826,Please see below for COVID 19 vaccine clinics offering all vaccines in Trumbull County for the week of April 18th https://t.co/FSxs3EMbaA,pos
443,Also they do not need to come up with a new vaccine for every mutation There is a base vaccine that is altered for each mutation This technology is not new to Covid Prior to Covid this same technology was used in,neu
2137,nan,neu
296,Pfizer announced yesterday that a third shot of its COVID 19 vaccine boosts immune protection in children ages 5 years to 11 years https://t.co/88b4DcSGKo https://t.co/SANEK5yJEg,pos
921,Then you should also know that vaccine regiments change with locale When you go to a place you get vaccinated for what you l be exposed to That how it always worked Now troops are bei,neg
1560,Yeah it doesn matter dude wee already seen DARPA report to the inspector general Covid is an aerosolized bat vaccine American made chimera not snake venom It has nothing to do with snakes,pos
2202,Mass in a 閳ユΙrecarious position閳 due to disparities in COVID 19 vaccination coverage study finds https://t.co/ntyziqUPTj via,neu
1919,and what is the relation with the covid vaccine,neu
2513,The risk of vaccine poses more danger to youngsters with myocarditis than some sniffles they would get with Covid,neg
2263,4th COVID 19 vaccine dose effective in protecting people over 60 鑱絪tudy https://t.co/uALDP5fwuy,pos
562,I recommend this just released book if you seek to fully appreciate Trudeau's dystopic and social credit system inspired pandemic agenda https://t.co/HZVXBMK9GU,pos
1108,CA COVID 19 vaccine mandate for school children pushed back one year https://t.co/ZisLZLjXWM,neu
2278,So let閳ユ獨 recap閳ヮ洘ou閳ユ獧e avoiding giving EUA to the countries first protein based Covid Vaccine so you can approve a Covid breathalyzer Which one do you think will save more lives Your priorities over there are so F D up How do you sleep at night,pos
298,None of the U K or Spanish kids had the hepatitis A B C or E viruses typical infectious causes of the disease But a handful of children tested positive for SARS-CoV 2 infection shortly before or upon hospital admission none had received a COVID 19 vaccine,pos
1005,Irving on vax saga Made right decision for me #Brooklyn #Nets #NBA https://t.co/2ns2i5qUYJ,neu
1931,If we all voted Conservative Party last time ... onservative Leader Erin O oole is the latest federal party leader to promise a national system for proving residents have been v,pos
878,Honestly I first got COVID post-vaccine and my symptoms were super minor as a result ... BUT I got it from my best buddy and his brother whose place I was crashing at for a little while ... and these guys work in Lawn Service full time fo,pos
2149,Pfizer FDA knew Covid Vaccine caused Immunosuppression VAED ADE in Feb 2021 and they knew it was killing people https://t.co/bxNbSNzm6d,neg
1414,Washington State Board Discards COVID 19 Vaccine Mandate For Schools https://t.co/xORzGbHG8E,neg
1139,SAFE EFFECTIVE NEVER FORGET THEIR LIES https://t.co/eeSnY7Due1,pos
436,Novavax is still awaiting U S regulators review of its experimental Covid 19 vaccine But the Gaithersburg company is not waiting to position that candidate for the future it betting on including as a booster https://t.co/gTR3uxkaBU,neu
847,Covid 19 Live Updates BA 2 Vaccines and More News The New York Times https://t.co/fKpntJn0Z8,neu
2546,I didn閳ユ獩 change my story Not one bit I said I was 3x vaccinated I said I had COVID I said I閳ユ獡 dealing with long COVID stuff and being treated You claimed I was convinced to be vaxxed after infection and this is all from the vaccine I simply corrected you on timeline,pos
2476,Vaccinate Vaccinate Vaccinate If you have any questions about the vaccine or are having problems finding or getting to your local free vaccine center we are here to help Email us at #vaccines #health #covid #covid-19 #vaccineswork https://t.co/QpX04LOsYx,pos
1058,Wouldn be surprised if he got a Covid vaccine in 2004 https://t.co/hfW9Ol1LjM,pos
526,Beltway Insider Biden SCOTUS Ukraine Bucha Massacre Jan 6 Committee COVID Vaccine Totals Tiger Woods Will Smith https://t.co/mQOKdbOtSF,neu
2208,Grandpa got Julien Barr from a previous vaccine Couldn閳ユ獩 get the COVID one they locked him from his wife of 50years for 閳ユ  ealth閳 and you say we didn閳ユ獩 lose any freedoms Shame on you There are effects of COVID restrictions you閳ユ獧e not willing to accept because your partisan,neg
1969,You think the Covid vaccine is free,pos
195,Fighting Covid Q A Infographic IMAGE Getting a COVID 19 Vaccine PDF COVID 19 Communication Card Vaccine PDF Testing PDF Symptoms Prevention PDF Por qu usamos una mascarilla Why do we use a mask English Subtitles Youtube https://t.co/uCNK1lvUby https://t.co/l9SANDSc6V,neg
1099,Hopefully they will remain ut of the Covid vaccine,pos
2098,Moderna recalls thousands of COVID vaccine doses in Europe via https://t.co/QLDLnSsSqH,neu
1083,Hunter Biden the man who got caught with thousands of child porn on his laptop And did something with Covid You mean make a vaccine thats killed more than the original Virus or,neg
2432,Again that閳ユ獨 your assumption Science proves otherwise Yes fewer people would have been injured if they had not taken the vaccine 0 of non-vaxed people were injured from the vaccine 100 of vaccine injuries occur in vaccinated people Can you still get Covid if vaxed Yes,neu
2097,Pfizer FDA knew Covid Vaccine caused Immunosuppression VAED ADE in Feb 2021 and they knew it was killing people 閳 The Expose https://t.co/2FzNvDCQ5i This can't be true,neg
1010,COVID 19 mRNA Vaccine BNT 162b2 is not recommended for children under 12 years https://t.co/DgRfBrfysu,neg
2429,With Congress having reached a funding stalemate regarding additional COVID 19 support the White House has said that the federal government does not have adequate resources to purchase enough booster vaccine doses for all Americans if additional doses are needed,pos
692,"As of 4pm today Cambridge is reporting 116 newly reported COVID 19 cases 1 newly reported COVID 19 death 82.2 cases per 100,000 residents 7 day moving average 93 of residents with at least one vaccine dose and 76 fully vaccinated More at https://t.co/YgmNLKcIMc #CambMA https://t.co/lqnNhZL8g1",neg
1417,Having the vaccine primed your body to fight the covid virus more quickly and effectively Perhaps your T cells and antibodies helped to fight some of the residual covid virus from your first infection,neg
1539,Mixed viral vector AZ vaccine with mRNA booster has been widely used here in the UK Including in myself and I'm still covid free it seems effective looking at national data but no more effective than 3x mRNA doses,pos
1865,alifornia won't enforce COVID vaccine mandates for kids by https://t.co/iCQhl04JP8,neu
2464,My assumption is the vaccine injures far less people than getting covid Come on So you are saying less people would have been injured without any vaccines,neg
2317,Is Covid Vaccine or Test required for,neu
402,Pfizer FDA knew Covid Vaccine caused Immunosuppression VAED ADE in Feb 2021 https://t.co/eAlNKzX80t,neu
1943,A Berkeley IGS poll released in late February found that two-thirds of California voters supported requiring the COVID 19 vaccine for K 12 students But there is a big split along party lines https://t.co/02jbcbdd6T https://t.co/22XtLyoLjP,pos
1129,Severe allergic reactions to COVID 19 mRNA vaccines are extremely rare but researchers are conducting a better to help understand them https://t.co/xX4mq87dsR,pos
916,Come on mate haven't you guys got enough money from Gates Fouci and Big Pharma You know this fake Vaccine don't work How about bringing back IVM AND HCQ which have been proven to save lives and prevent Covid You so called health profes,neg
1366,An interesting read on the reactions businesses face on loosening vaccine restrictions from employees previously required to inoculate against COVID 19 https://t.co/vfDSXYLwPc,pos
1210,please find out why FDA is dragging their feet giving approval to Novavax Covid Vaccine,pos
422,So DeSantis wants to save unborn lives but he pushes back on Covid vaccines Does that make sense Did you risk the lives of your family friends and neighbors by not getting a Covid vaccine Don say this isn the same because it i,pos
1947,For a medical doc and prof you clearly aren the sharpest tool in the shed Stop sensationalising what is a mild flu I caught it unvaccinated and was sleepy a few days I know of people who had worse reactions to the vaccine than th,neg
688,Broadway Adjusts COVID Vaccine Requirements Extends Mask Policy https://t.co/6Dh4psfevS,pos
2654,0,neu
