username,location,text,True or Not,isSarcasm,tweet_date,hashtags_extracted,,
Iain Mackenzie,"Toronto, Ontario","@5dme81 I recommend this just released book if you seek to fully appreciate Trudeau's dystopic and social credit system inspired pandemic agenda - https://t.co/KmmX9Ie3O0

A friend of mine recently bought 40 of these books to distribute to his friends who",,,2022-04-16 02:06:34+00:00,,,
TLDCRM,"Miami, FL","Moderna, citing need for 'flexibility,' seeks broad clearance of fourth COVID shot https://t.co/kPz8R1mG8f https://t.co/ebYGuiblNJ",,,2022-04-16 02:06:33+00:00,,,
Iain Mackenzie,"Toronto, Ontario","@TariqElnaga I recommend this just released book if you seek to fully appreciate Trudeau's dystopic and social credit system inspired pandemic agenda - https://t.co/KmmX9Ie3O0

A friend of mine recently bought 40 of these books to distribute to his friend",,,2022-04-16 02:06:22+00:00,,,
Iain Mackenzie,"Toronto, Ontario","@MrJoKeR604 I recommend this just released book if you seek to fully appreciate Trudeau's dystopic and social credit system inspired pandemic agenda - https://t.co/KmmX9Ie3O0

A friend of mine recently bought 40 of these books to distribute to his friends",,,2022-04-16 02:06:10+00:00,,,
Government Advisor??????,,Which one are you? #nz #nzpol #covid #vaccine #mandates,,,2022-04-16 02:05:54+00:00,"nz,nzpol,covid,vaccine,mandates",,
Iain Mackenzie,"Toronto, Ontario","@Victoria59L I recommend this just released book if you seek to fully appreciate Trudeau's dystopic and social credit system inspired pandemic agenda - https://t.co/KmmX9Ie3O0

A friend of mine recently bought 40 of these books to distribute to his friend",,,2022-04-16 02:05:46+00:00,,,
Iain Mackenzie,"Toronto, Ontario","@IamSue67 I recommend this just released book if you seek to fully appreciate Trudeau's dystopic and social credit system inspired pandemic agenda - https://t.co/KmmX9Ie3O0

A friend of mine recently bought 40 of these books to distribute to his friends w",,,2022-04-16 02:05:33+00:00,,,
KQED,"San Francisco, CA","On Thursday, the author of a bill that would have mandated vaccines for all children pulled the legislation.

Shortly after, state health officials pushed back the date of their student vaccine mandate.
https://t.co/3SX3rUbxwv",,,2022-04-16 02:05:00+00:00,,,
Coaster,???,"@OmarInTheOF Covid is behind us as far as I'm concerned. 

If I can go inside a full building in Massachusetts and they're not asking for anything, mask or vaccine card, I think we're fine.  

But apparently the A's require it if you're going inside the c",,,2022-04-16 02:04:25+00:00,,,
Carolyn,USA,Air Force Master Sergeant Facing Court-Martial After Refusing COVID-19 Vaccine https://t.co/3BypWpkxmI,,,2022-04-16 02:01:55+00:00,,,
Internet Tour Guide ???? ????,Inner Matrix,"That the mRNA-based COVID shot is not a real vaccine is evidenced by the sheer number of ??oosters??required to keep COVID-19 at bay. When the injections were released at the beginning of 2021, the promises flowed",,,2022-04-16 02:00:46+00:00,,,
The BFD,Auckland,Ins and Outs of Covid Vaccine?Safety https://t.co/bWJNftUw7B,,,2022-04-16 02:00:27+00:00,,,
Local News Matters,"SF Bay Area, CA","California will not require K-12 students to get vaccinated against COVID-19 until at least 2023, state public health officials said this week.

Story by @walsh_eli: https://t.co/cMyecmxDCb",,,2022-04-16 02:00:22+00:00,,,
Mid-Michigan NOW,Mid-Michigan,"MSU to continue Covid-19 vaccine mandate, lift face-covering requirement
https://t.co/GRz4bj2mLF",,,2022-04-16 02:00:00+00:00,,,
CC ????,,@AMCKunneke @WDoft @MelissaMbarki @bearbear281 @RosieBarton @JustinTrudeau Healthcare workers were called back??here?? an article from N.B https://t.co/acVfG8MsfH. Here?? another one from Alberta: https://t.co/UfvwQMGcjJ,,,2022-04-16 01:59:56+00:00,,,
(Kombucha) Guts,,"@v4mpluvagirl I wish there was more discussion of long covid effects. Curing long covid effects and those that have had covid effects before they got the vaccine. Just saying ""get the vaccine and a booster"". Isn't really progress. Especially when you cons",,,2022-04-16 01:59:32+00:00,,,
.,Coochie Land,"When I heard Johnson &amp; Johnson was coming with a covid vaccine, I knew humanity?? days were numbered.",,,2022-04-16 01:59:12+00:00,,,
Boston Medical Center,"Boston, MA",BMC infectious diseases physician @assoumou_md joins @NBC10Boston to provide insight on the crucial role the #vaccine plays in preventing another #COVID surge. https://t.co/JxFF6AMUxX,,,2022-04-16 01:59:00+00:00,"vaccine,covid",,
"Bhoj R Singh, Epidemiologist",Bareilly,"You may detect so many different potential pathogens in sewage, why to restrict to #Covid-19 only? One moto! To create Mania for useless Vaccine not for good of people but for greedy pharmas &amp; tyrant leaders, no need to say why. https://t.co/RldHUVzFz5
@WHO @eHealth @healthglobal https://t.co/3h1d0mX9hI",,,2022-04-16 01:58:48+00:00,covid,,
Daniel,"Florida, USA","They are Actually calling it the SPIKEVAX!

Source:
https://t.co/J9XoHPD1x0 https://t.co/x6PL2dIORi",,,2022-04-16 01:57:37+00:00,,,
God Of Incentive,,"With all this in mind, governments and private companies that are still screwing with people?? lives and livelihoods are incompetent or have other agendas. End of story.

Stop mask mandates. Stop lockdowns. Stop vaccine mandates. Stop Covid camps. Open borders.",,,2022-04-16 01:57:35+00:00,,,
??? The Unwilling Mrs. Kravitz ???,Seattle,"@JI45606936 @dkaz @AlejandraF185 @debbshock Reality check. Many still mask up inside though not mandated. We were there at the beginning &amp; saw non masks wearing, non distancing people die while we didn?? because we had great leaders who listened to ep",,,2022-04-16 01:57:09+00:00,,,
Cred,,Absolute insanity to get boosted if already gone down the ineffective vaccine road. ?????????????€????????€????https://t.co/qQ3cSNkxfY,,,2022-04-16 01:56:49+00:00,,,
TRUTH MEDIA,"New York, USA","????Washington State Board Discards COVID-19 Vaccine Mandate For Schools
Board President Keith Grellner admitted to never seeing such intense public reaction to the board?? potential actions during his 11 years on the board.
https://t.co/4ZmlXRn9Gw
#Washington #vaccinemandate https://t.co/fUY9kwf9Sv",,,2022-04-16 01:56:19+00:00,"washington,vaccinemandate",,
YouCantHandleTheTruth,,"@WalrusesAreCool Covid was worse under Biden - 600,000 died under his watch - with a vaccine. Trump brought in hospital ships, sent tests to states, did Operation Warp Speed, held daily press briefings, shut down travel, shut down the border. What has Bid",,,2022-04-16 01:56:05+00:00,,,
Anti-Groomer,,"Freedom of speech:
- Fact: the covid vaccine has killed tens of thousands of people. 
- Fact:  The most reasonable conclusion is that covid came from a lab. 
- Fact:  Anthony Fauci is very much responsible for development of covid 19
- Fact:  all lives matter",,,2022-04-16 01:56:04+00:00,,,
Wry Whiskey ????€??????,OR-ID-WA,"@IdahoGOP @grumpy___spice By pro-life do you mean:
1. Medicare for all so no one dies from lack of medical access?
2. Vaccine and mask mandates to reduce COVID deaths?
3. Reasonable gun control to reduce mass shooting deaths?
4. Housing and food programs ",,,2022-04-16 01:55:37+00:00,,,
Daryl Maguire?? tractor,"Victoria, Australia",This week Pfizer made a $100 million bid to acquire an app that claims it will diagnose Covid when you cough on your phone and yet still no vaccine exists in the world for kids under 5.,,,2022-04-16 01:55:32+00:00,,,
Shelby Cleator,"Ontario, Canada","Rona has hit my household and I?? full of rage and terror for my toddler. As a triple vaxxed parent who?? symptoms are that of a lazy cold, I wonder when the fuck there will be a vaccine for young children. What is taking so long? #Covid_19",,,2022-04-16 01:55:26+00:00,covid_19,,
Rick Smith,"Harrisburg, PA","Max Burns:  I'm glad to finally know what I'm putting in my body [COVID vaccine], and apparently it's snake blood &amp; Satan DNA. Another breakthrough from the Medical College of Trump University. I'd like to thank them for their service.
@themaxburns @thedailybeast",,,2022-04-16 01:54:57+00:00,,,
sf jason,,@NikkiMedoro I got my covid booster and flu shot the same day in December and had a really bad reaction to the flu vaccine but my mind went right to covid (it wasn't,,,2022-04-16 01:54:46+00:00,,,
BENGUET 2ND PMFC,,"BEWARE OF FAKE COVID-19 VACCINE ONLINE

#PNPKakampiMo
#TeamPNP
#PNPToServeandProtect https://t.co/VxeqFBqpiZ",,,2022-04-16 01:54:45+00:00,"pnpkakampimo,teampnp,pnptoserveandprotect",,
Jill Tucker,San Francisco,California just postponed the COVID vaccine requirement for schoolchildren. Here?? what you need to know https://t.co/1UErTPgCo7 via @sfchronicle,,,2022-04-16 01:53:47+00:00,,,
OneLove4Peace,,"@ClifBro72 @Reddspark1 @jeub56 @cliftonaduncan It doesn't really matter does it?  Vaccinated People have died from covid. A LOT of them. Plus, more people died under biden with the vaccine.",,,2022-04-16 01:53:42+00:00,,,
Encinitas Patch,"Encinitas, CA",The move means many parents reluctant to get their child vaccinated will have another school year before the state mandate kicks in. https://t.co/YK7n0jKJzZ,,,2022-04-16 01:53:24+00:00,,,
RanchoBernardo Patch,"Rancho Bernardo, CA",The move means many parents reluctant to get their child vaccinated will have another school year before the state mandate kicks in. https://t.co/oCSzOI5p1K,,,2022-04-16 01:53:22+00:00,,,
CurlingRiver,Seattle,"Do I really need another booster dose of the COVID-19 vaccine? https://t.co/QAcV1jvBA5 Perhaps we need a variant-specific booster, out this summer?",,,2022-04-16 01:53:11+00:00,,,
Srilankamirror,Sri Lanka,"New Covid vaccine approved for use in UK

#lka #SriLanka #world #UK #Valneva #Covid19vaccine #Covid_19 https://t.co/DW0JlKz5vg",,,2022-04-16 01:53:02+00:00,"lka,srilanka,world,uk,valneva,covid19vaccine,covid_19",,
Patrick,,@Karoli https://t.co/DtbTGfCKjZ If he gets covid he has no one to blame but himself,,,2022-04-16 01:52:31+00:00,,,
Srilankamirror,Sri Lanka,New Covid vaccine approved for use in UK https://t.co/2n6FLNMmGo,,,2022-04-16 01:52:05+00:00,,,
Shar,"Ontario, Canada",Please get vaccinated! https://t.co/gt0sAbGITE,,,2022-04-16 01:51:30+00:00,,,
David,"Melbourne, Vic., Australia","Ditto; it ain't over, despite macho assertions to the contrary

https://t.co/b4P6BuYch2",,,2022-04-16 01:51:28+00:00,,,
Vamsi Yadav 1902,"Hyderabad, India","@CovidIndiaSeva 
I have lost my COVID vaccination certificate along with my phone number registered for vaccination.pls help me to get vaccine certificate",,,2022-04-16 01:51:26+00:00,,,
Yasmina??,,"@freyas_house @denise_dewald Brother-in-law currently has it. Father-in-law got Bell's Palsy. Seems the covid vaccine ""activated"" both.",,,2022-04-16 01:51:12+00:00,,,
The Hindu,"Chennai, India","The ??arm??vaccine developed by #Mynvax laboratories, is unique among existing vaccines in that it can be stored at 37 degree Celsius for four weeks and at 100 degree Celsius for upto 90 minutes, reports @neutranino 
https://t.co/rK4tq1yfAs",,,2022-04-16 01:50:02+00:00,mynvax,,
UnKnown Quantity??????€?????????,"The Mets won their home opener on Friday without some of their starting players, who were sidelined by a cluster of coronavirus cases that popped up just hours before the game.
https://t.co/wHmZcRgoFA",,,2022-04-16 01:48:23+00:00,,,,
Grampy Ole Dave,"Brisbane, Queensland","@RobWalk93116043 @Donsvess More young people get myocarditis from Covid than from the vaccine
https://t.co/0YPsgX4bp7",,,2022-04-16 01:48:10+00:00,,,
GATCHAMAN: NYT Admits Hunter Biden Laptop Real,"Azusa, CA",Calif. State Senate pulls bill mandating COVID-19 vaccine for school children https://t.co/5tXwvy5kqY,,,2022-04-16 01:47:13+00:00,,,
SortingThruDaNoiz,,"@Gem_kiss @Covid19Critical Poppycock! If there was medical evidence, I would accept it. The claims here are anecdotal. People reading here should know there is no medical evidence IVM treats COVID. It is fool's treatment. Instead of a cheap vaccine, think",,,2022-04-16 01:47:02+00:00,,,
Latty Kyress,,"AUTOPSIES CONFIRM: THE FINGERPRINTS OF THE VACCINE ARE EVERYWHERE IN THE BODY.
Wow guys this whole thing with the covid and the vaccines is getting out of control...Repost please! https://t.co/0ZGHhMz0GQ",,,2022-04-16 01:46:42+00:00,,,
gavin mitchell,,@PlatosLounge @JohnCunnington5 https://t.co/KjpjwbRK9E.  #UK says NO to giving it to kids.,,,2022-04-16 01:46:29+00:00,uk,,
Jason Richer,RI,"@novaxgirl @littledottie00 Vaccine reaction, not COVID.",,,2022-04-16 01:46:26+00:00,,,
Donni Slater,,"Tell me again how mask and vaccine mandates is government overreach through an authoritarian...Americans do not know how good they have it. 

Shanghai turns residences into COVID isolation facilities, sparking protest https://t.co/4Sqfpv2whI",,,2022-04-16 01:45:13+00:00,,,
TheTruth?? I need a Vacation.,"Flagstaff, AZ by way of Boston",@memesonfire7 @No_Sugar_m8 @NikkiFried Well I had COVID. It's not a joke. It's not a conspiracy. It's real. Everyone is going to do there own thing. For me it's vaccine.,,,2022-04-16 01:44:48+00:00,,,
Covid Con,,"@ChristyCeeCK @moogacat Jesus.  Do you believe the garbage you write?  It is not a ""vaccine"" if you take boosters forever and still catch the underlying virus dumb dumb.",,,2022-04-16 01:44:02+00:00,,,
????????????,"@wiguy45 Yup... Getting sick with covid gives you ""a lot more in extreme abundance"" of antibodies than getting the vaccine full of human fetal tissue.... https://t.co/uL3g3z2XOD",,,2022-04-16 01:43:58+00:00,,,,
Harsh Gupta,"Noida, India",@tavleen_singh The high efficacy of India made Covaxin against most Covid variants and it's long term protection has shaken the MNC vaccine manufacturers. Who lost a big lucrative 1.3 billion market due to Make in India. With 31cr shots already done it ha,,,2022-04-16 01:43:53+00:00,,,
MadDog Sharon ????,"Surfside Beach, SC",@KingCujo @DirkSchwenk I got the shingles vaccine in one arm and the Covid booster in the other. ???????,,2022-04-16 01:42:32+00:00,,,,
Clifford Brown,,"@jeub56 @Reddspark1 @cliftonaduncan I would say about this study is that, while Covid deaths are going down, primarily due to the vaccine, and herd immunity, eventually and perpetually, Covid will be a comorbidity with a direct correlation with the number",,,2022-04-16 01:40:50+00:00,,,
Whisperofseptember,,"New data on vaccines, over 1 million injuries, and over 27,000 deaths  https://t.co/cSNNaNSPs0",,,2022-04-16 01:40:42+00:00,,,
ReddSpark.blog,,"@jeub56 @ClifBro72 @cliftonaduncan I?? saying two things. 1) If ??alf of all Covid deaths since the Vaccine came out have been vaccinated??is a real statistic, it?? not mentioned as such in this article so need to provide a better source.",,,2022-04-16 01:40:19+00:00,,,
Deeta,"Phoenix, AZ",@TheFamous_Will @RSBNetwork Clearly you have yet to understand the purpose of the covid vaccine. Carry on with your life and have a blessed Easter.,,,2022-04-16 01:40:16+00:00,,,
Business News Daily,,"""Biden admin's COVID vaccine, testing 'action' will help get people back to work: US labor secretary"" #biznews #businessnews #businesstalk Labor Secretary Marty Walsh argued on Friday that the ??ear??of the coronavirus pandemic contributes to lackluster labor participation. https://t.co/lUYWonZxJE",,,2022-04-16 01:39:15+00:00,"biznews,businessnews,businesstalk",,
Business News Daily,,"""Biden admin considering vaccine mandate for businesses with fewer than 100 employees"" #biznews #businessnews #businesstalk OSHA says it is ""seeking comment"" on how a vaccine and COVID-19 testing mandate would affect businesses with fewer than 100 employees. https://t.co/lzBoQAdIBo",,,2022-04-16 01:39:03+00:00,"biznews,businessnews,businesstalk",,
The Real Truther,"Orange County, California",@LettersFromOz Death is not the only negative effect of Covid. The vaccine reduces severe disease in anyone.,,,2022-04-16 01:38:10+00:00,,,
Nick Efthimiou,"Sydney, New South Wales",Apparently beggars can be choosers. https://t.co/WuYwNkGoHR,,,2022-04-16 01:37:56+00:00,,,
Newsweek,"New York, NY",Thybulle will have to sit out at least two games in the first round of the NBA playoffs due to Canada's federal vaccine mandate. https://t.co/QbXr7nhHiE,,,2022-04-16 01:37:47+00:00,,,
GetCraigavonWorking,Craigavon U.K. ,"@FergalBowers Well @BL_ConnorLynch 
It?? time to update your story @Ryan_Smith94 @mlchealth @nichildcom @BelTel @irish_news @BBCNewsNI @bbc5live we are watching. 
??
https://t.co/ob5nQX3KUj",,,2022-04-16 01:37:29+00:00,,,
"Alison, LPCC","Northridge, Los Angeles",@pjhn22 @voiceofdapeeps They have already moved on. CA just delayed covid vaccine mandate for schools until at least 2023. They don't GAF about medically vulnerable kids. It's back to normal and wear a mask if it makes you feel more comfortable.,,,2022-04-16 01:37:23+00:00,,,
Peter K Burian,Canada,"@mattgurney Will this happen in Ontario?
April 13: Quebec cancelling some hospital procedures amid sharp rise in COVID hospitalizations 
The province is not doing well.
Que.: 2,060 in hospital. Population: 8.5 million 
Ont.: 1,391 in hospital. Population:",,,2022-04-16 01:36:54+00:00,,,
The Real Truther,"Orange County, California",@LettersFromOz It doesn?? kill and maim people. You??e thinking of Covid. No non-immune adult has less risk with Covid than the vaccine.,,,2022-04-16 01:36:44+00:00,,,
???? Lanka Data,Sri Lanka,"#COVID19 Boosters per 100 people (2022-04-11)

50.24 #EuropeanUnion
36.85 #Oceania
36.79 #SriLanka
35.74 #SouthAmerica
23.93 #Asia
22.85 #NorthAmerica
22.04 #World
1.44 #Africa

#COVID19SL #SriLanka #lka
Source: @OurWorldInData - https://t.co/BQBIQM9aeq https://t.co/1pDrqejPfm",,,2022-04-16 01:36:38+00:00,"covid19,europeanunion,oceania,srilanka,southamerica,asia,northamerica,world,africa,covid19sl,srilanka,lka",,
Peter K Burian,Canada,"@Jul101Vie Will this happen in Ontario?
April 13: Quebec cancelling some hospital procedures amid sharp rise in COVID hospitalizations 
The province is not doing well.
Que.: 2,060 in hospital. Population: 8.5 million 
Ont.: 1,391 in hospital. Population: ",,,2022-04-16 01:36:30+00:00,,,
GRu,,"#Novavax  is there any update from the @US_FDA on the approval of your #Covid_19 vaccine? Additional information needed, date on the calendar for review, anything to show they are actually doing something?",,,2022-04-16 01:35:55+00:00,"novavax,covid_19",,
RookieCoins,,"@JohnTory No need to comment on this one John.  Hope you feel better soon, but call a spade a spade.

Odds of catching Covid are FAR greater in the boosted.

Stop this pushing vaccine insanity... You are willingful in your ignorance.
BTW
The 60+ stats are",,,2022-04-16 01:35:33+00:00,,,
MarioM ???????????,"Toronto, ON","@ChristyCeeCK So the vaccine does not work since you had symptoms. It did not stop you from getting covid and now you run the risk of long covid.  Also masks are useless and a massive pollutant with millions in our oceans, so selfish, what about your carb",,,2022-04-16 01:34:49+00:00,,,
Dock Ellis,The Bardo,"@4everNeverTrump ""Suppose that we hit the body with a tremendous, whether it's ultraviolet or just very powerful light...""

https://t.co/kdjeNNiMqm",,,2022-04-16 01:34:44+00:00,,,
Peter K Burian,Canada,"@AnthonyDaleOHA Will this happen in Ontario?
April 13: Quebec cancelling some hospital procedures amid sharp rise in COVID hospitalizations 
The province is not doing well.
Que.: 2,060 in hospital. Population: 8.5 million 
Ont.: 1,391 in hospital. Populat",,,2022-04-16 01:34:34+00:00,,,
Jill ??????????????????,,"@perthrover @NicolaSturgeon Pass this to your boss.
I challenge  @NicolaSturgeon to meet ppl from Aberdeen Covid vaccine trials
You say your grateful
I say you're afraid of criticism
Set a place and time.
@theSNP @scotgov @AberdeenSNP 
@EveningExpress 
@p",,,2022-04-16 01:33:50+00:00,,,
Peter K Burian,Canada,"@dw_harrison @MarinaGlogovac @DFisman Will this happen in Ontario?
April 13: Quebec cancelling some hospital procedures amid sharp rise in COVID hospitalizations 
The province is not doing well.
Que.: 2,060 in hospital. Population: 8.5 million 
Ont.: 1,39",,,2022-04-16 01:33:47+00:00,,,
Pedro J Martin,"Baghdad, Iraq","RTStateDept: This week, the United States partnered with @gavi #COVAX to donate more than 2.1 million COVID-19 vaccine doses to Comoros, Eswatini, Mauritania, and Nigeria. To see where else we've donated COVID-19 vaccines around the world, visit: ??https://t.co/wjAOxaOr0d",,,2022-04-16 01:33:29+00:00,covax,,
